,advanced education,non advanced education
215,,low<=50K
216,,low<=50K
217,high>50K,
218,high>50K,
219,,low<=50K
220,high>50K,
221,,low<=50K
222,,low<=50K
223,,low<=50K
224,,low>50K
225,,low<=50K
226,,low>50K
227,,low>50K
228,high<=50K,
229,,low<=50K
230,,low<=50K
231,,low<=50K
232,,low>50K
233,,low<=50K
234,,low<=50K
235,,low<=50K
236,,low<=50K
237,high<=50K,
238,,low<=50K
239,,low<=50K
240,,low<=50K
241,,low<=50K
242,,low>50K
243,,low>50K
244,high<=50K,
245,,low>50K
246,,low>50K
247,,low<=50K
248,high<=50K,
249,high<=50K,
250,,low<=50K
251,,low<=50K
252,,low>50K
253,,low<=50K
254,,low<=50K
255,,low>50K
256,high<=50K,
257,,low>50K
258,,low<=50K
259,high<=50K,
260,,low<=50K
261,high>50K,
262,,low>50K
263,,low<=50K
264,high<=50K,
265,,low<=50K
266,high<=50K,
267,,low<=50K
268,high<=50K,
269,,low<=50K
270,high<=50K,
271,,low<=50K
272,high<=50K,
273,,low<=50K
274,,low<=50K
275,high>50K,
276,,low<=50K
277,,low>50K
278,,low>50K
279,,low<=50K
280,,low<=50K
281,,low<=50K
282,,low<=50K
283,,low>50K
284,,low>50K
285,high<=50K,
286,high>50K,
287,high>50K,
288,,low<=50K
289,,low<=50K
290,,low<=50K
291,,low<=50K
292,,low<=50K
293,,low<=50K
294,,low<=50K
295,,low<=50K
296,,low<=50K
297,,low<=50K
298,high<=50K,
299,,low<=50K
300,,low>50K
301,,low<=50K
302,,low<=50K
303,,low<=50K
304,high<=50K,
305,,low<=50K
306,,low<=50K
307,,low<=50K
308,,low<=50K
309,,low<=50K
310,high<=50K,
311,,low<=50K
312,,low<=50K
313,,low<=50K
314,,low>50K
315,,low>50K
316,,low<=50K
317,,low<=50K
318,high<=50K,
319,,low<=50K
320,high<=50K,
321,high>50K,
322,,low<=50K
323,high>50K,
324,,low<=50K
325,,low>50K
326,,low>50K
327,,low<=50K
328,,low<=50K
329,,low<=50K
330,high>50K,
331,high<=50K,
332,high>50K,
333,,low<=50K
334,,low<=50K
335,,low<=50K
336,,low<=50K
337,high>50K,
338,,low<=50K
339,,low<=50K
340,,low<=50K
341,,low>50K
342,,low<=50K
343,,low<=50K
344,,low<=50K
345,,low<=50K
346,,low<=50K
347,high<=50K,
348,,low<=50K
349,,low<=50K
350,,low<=50K
351,,low<=50K
352,,low<=50K
353,,low<=50K
354,,low<=50K
355,,low<=50K
356,,low>50K
357,,low<=50K
358,,low<=50K
359,,low>50K
360,high<=50K,
361,,low<=50K
362,,low<=50K
363,,low<=50K
364,,low<=50K
365,high>50K,
366,high>50K,
367,,low<=50K
368,,low<=50K
369,high>50K,
370,,low<=50K
371,high>50K,
372,,low<=50K
373,,low<=50K
374,,low<=50K
375,,low<=50K
376,,low<=50K
377,,low<=50K
378,high>50K,
379,,low<=50K
380,,low>50K
381,,low<=50K
382,,low<=50K
383,,low<=50K
384,,low<=50K
385,,low<=50K
386,,low<=50K
387,high>50K,
388,,low<=50K
389,,low<=50K
390,,low<=50K
391,high<=50K,
392,,low<=50K
393,,low>50K
394,high<=50K,
395,high<=50K,
396,,low>50K
397,,low<=50K
398,high>50K,
399,,low<=50K
400,,low<=50K
401,,low<=50K
402,,low<=50K
403,high<=50K,
404,,low<=50K
405,,low<=50K
406,,low>50K
407,,low<=50K
408,,low<=50K
409,,low<=50K
410,,low<=50K
411,,low<=50K
412,,low<=50K
413,,low>50K
414,,low>50K
415,,low>50K
416,,low>50K
417,,low<=50K
418,,low<=50K
419,,low<=50K
420,,low<=50K
421,,low<=50K
422,high<=50K,
423,,low<=50K
424,high<=50K,
425,,low<=50K
426,,low<=50K
427,,low<=50K
428,high>50K,
429,high>50K,
430,,low>50K
431,,low<=50K
432,,low<=50K
433,,low<=50K
434,high<=50K,
435,,low<=50K
436,,low<=50K
437,,low<=50K
438,,low<=50K
439,,low<=50K
440,,low<=50K
441,high<=50K,
442,,low<=50K
443,,low<=50K
444,,low<=50K
445,high<=50K,
446,high>50K,
447,,low<=50K
448,,low<=50K
449,,low<=50K
450,,low<=50K
451,high<=50K,
452,,low<=50K
453,,low<=50K
454,,low<=50K
455,,low<=50K
456,,low<=50K
457,,low<=50K
458,,low<=50K
459,,low<=50K
460,high<=50K,
461,high<=50K,
462,,low<=50K
463,,low<=50K
464,,low<=50K
465,,low<=50K
466,,low<=50K
467,,low<=50K
468,,low>50K
469,,low<=50K
470,,low<=50K
471,high>50K,
472,high>50K,
473,,low>50K
474,,low<=50K
475,,low>50K
476,,low>50K
477,,low<=50K
478,high>50K,
479,,low<=50K
480,,low<=50K
481,high<=50K,
482,,low<=50K
483,,low<=50K
484,,low>50K
485,,low>50K
486,,low<=50K
487,,low<=50K
488,,low<=50K
489,high<=50K,
490,,low<=50K
491,high<=50K,
492,,low<=50K
493,,low<=50K
494,,low<=50K
495,,low<=50K
496,,low<=50K
497,,low<=50K
498,,low<=50K
499,,low<=50K
500,,low<=50K
501,,low<=50K
502,,low<=50K
503,,low<=50K
504,,low>50K
505,,low<=50K
506,,low<=50K
507,,low<=50K
508,,low<=50K
509,high<=50K,
510,high>50K,
511,,low>50K
512,,low<=50K
513,high>50K,
514,,low<=50K
515,high<=50K,
516,,low<=50K
517,,low<=50K
518,high<=50K,
519,,low<=50K
520,,low<=50K
521,,low<=50K
522,,low>50K
523,high<=50K,
524,high>50K,
525,,low<=50K
526,high<=50K,
527,,low<=50K
528,,low>50K
529,,low<=50K
530,,low<=50K
531,high<=50K,
532,,low<=50K
533,,low<=50K
534,,low<=50K
535,,low>50K
536,high<=50K,
537,,low>50K
538,high>50K,
539,high<=50K,
540,,low<=50K
541,,low>50K
542,,low<=50K
543,high<=50K,
544,high<=50K,
545,,low<=50K
546,,low<=50K
547,,low<=50K
548,,low<=50K
549,,low<=50K
550,high>50K,
551,,low<=50K
552,,low<=50K
553,,low<=50K
554,high<=50K,
555,,low<=50K
556,,low<=50K
557,high<=50K,
558,high<=50K,
559,,low<=50K
560,,low<=50K
561,,low<=50K
562,high<=50K,
563,,low>50K
564,high<=50K,
565,,low<=50K
566,,low<=50K
567,,low<=50K
568,,low<=50K
569,,low<=50K
570,,low>50K
571,,low<=50K
572,,low>50K
573,high>50K,
574,,low<=50K
575,,low<=50K
576,,low>50K
577,high>50K,
578,,low<=50K
579,,low<=50K
580,high<=50K,
581,high>50K,
582,,low<=50K
583,high>50K,
584,,low<=50K
585,,low<=50K
586,,low<=50K
587,,low>50K
588,,low<=50K
589,high>50K,
590,,low<=50K
591,,low<=50K
592,high>50K,
593,,low<=50K
594,,low<=50K
595,high>50K,
596,,low<=50K
597,,low<=50K
598,,low<=50K
599,,low<=50K
600,,low<=50K
601,,low>50K
602,,low>50K
603,high<=50K,
604,,low<=50K
605,high<=50K,
606,,low<=50K
607,,low>50K
608,,low<=50K
609,,low>50K
610,,low<=50K
611,,low<=50K
612,,low<=50K
613,high>50K,
614,,low>50K
615,,low<=50K
616,,low<=50K
617,,low<=50K
618,,low<=50K
619,,low<=50K
620,,low<=50K
621,,low>50K
622,,low>50K
623,,low<=50K
624,,low<=50K
625,,low<=50K
626,high<=50K,
627,high<=50K,
628,,low<=50K
629,,low<=50K
630,,low<=50K
631,,low<=50K
632,,low<=50K
633,high<=50K,
634,high>50K,
635,high>50K,
636,high<=50K,
637,,low<=50K
638,high<=50K,
639,high<=50K,
640,,low<=50K
641,,low<=50K
642,high>50K,
643,high>50K,
644,,low<=50K
645,,low<=50K
646,,low<=50K
647,,low<=50K
648,high<=50K,
649,,low<=50K
650,,low<=50K
651,high<=50K,
652,,low<=50K
653,,low<=50K
654,,low<=50K
655,,low<=50K
656,high>50K,
657,,low<=50K
658,,low<=50K
659,high<=50K,
660,,low>50K
661,high>50K,
662,,low<=50K
663,,low<=50K
664,,low<=50K
665,,low<=50K
666,,low<=50K
667,,low<=50K
668,,low<=50K
669,,low<=50K
670,,low<=50K
671,high<=50K,
672,,low<=50K
673,high>50K,
674,,low<=50K
675,,low<=50K
676,high>50K,
677,,low<=50K
678,,low<=50K
679,high>50K,
680,,low>50K
681,,low<=50K
682,,low<=50K
683,high<=50K,
684,high>50K,
685,high<=50K,
686,,low<=50K
687,,low<=50K
688,,low<=50K
689,,low<=50K
690,,low>50K
691,high<=50K,
692,,low>50K
693,,low<=50K
694,,low<=50K
695,,low>50K
696,,low<=50K
697,high>50K,
698,high>50K,
699,,low<=50K
700,,low<=50K
701,,low<=50K
702,high<=50K,
703,,low<=50K
704,,low<=50K
705,,low<=50K
706,,low<=50K
707,,low>50K
708,,low<=50K
709,,low<=50K
710,,low<=50K
711,high>50K,
712,,low<=50K
713,,low<=50K
714,,low>50K
715,,low<=50K
716,,low<=50K
717,,low<=50K
718,,low<=50K
719,,low>50K
720,high<=50K,
721,,low<=50K
722,,low>50K
723,,low<=50K
724,,low<=50K
725,,low<=50K
726,high>50K,
727,high>50K,
728,,low<=50K
729,,low<=50K
730,,low<=50K
731,,low<=50K
732,,low<=50K
733,,low>50K
734,high>50K,
735,high>50K,
736,,low<=50K
737,,low<=50K
738,,low<=50K
739,,low<=50K
740,,low<=50K
741,,low<=50K
742,,low<=50K
743,,low>50K
744,,low<=50K
745,,low>50K
746,,low<=50K
747,high<=50K,
748,,low<=50K
749,,low<=50K
750,,low<=50K
751,,low>50K
752,,low<=50K
753,,low<=50K
754,,low<=50K
755,high<=50K,
756,,low>50K
757,,low<=50K
758,,low<=50K
759,,low<=50K
760,,low<=50K
761,high>50K,
762,high<=50K,
763,,low<=50K
764,,low<=50K
765,,low<=50K
766,,low>50K
767,high<=50K,
768,,low>50K
769,,low<=50K
770,,low<=50K
771,high>50K,
772,high<=50K,
773,,low<=50K
774,high>50K,
775,,low<=50K
776,,low<=50K
777,high<=50K,
778,high>50K,
779,,low<=50K
780,,low<=50K
781,,low>50K
782,high<=50K,
783,high>50K,
784,,low<=50K
785,,low<=50K
786,,low<=50K
787,,low<=50K
788,,low<=50K
789,,low<=50K
790,,low<=50K
791,,low<=50K
792,,low>50K
793,high<=50K,
794,high>50K,
795,,low<=50K
796,high>50K,
797,high>50K,
798,,low<=50K
799,high>50K,
800,,low<=50K
801,,low<=50K
802,,low>50K
803,,low<=50K
804,,low<=50K
805,high>50K,
806,,low<=50K
807,high>50K,
808,,low<=50K
809,high<=50K,
810,,low<=50K
811,,low<=50K
812,high<=50K,
813,,low<=50K
814,high>50K,
815,,low>50K
816,high<=50K,
817,,low<=50K
818,high<=50K,
819,high>50K,
820,,low<=50K
821,,low<=50K
822,,low<=50K
823,,low<=50K
824,,low<=50K
825,,low<=50K
826,,low<=50K
827,high<=50K,
828,,low<=50K
829,,low<=50K
830,,low<=50K
831,,low<=50K
832,,low<=50K
833,,low<=50K
834,,low<=50K
835,high>50K,
836,high<=50K,
837,,low>50K
838,,low<=50K
839,,low<=50K
840,,low<=50K
841,,low<=50K
842,,low<=50K
843,,low<=50K
844,,low<=50K
845,,low<=50K
846,high>50K,
847,,low<=50K
848,,low<=50K
849,,low<=50K
850,,low<=50K
851,,low<=50K
852,,low>50K
853,,low>50K
854,high<=50K,
855,,low>50K
856,,low<=50K
857,high>50K,
858,,low<=50K
859,,low<=50K
860,,low>50K
861,,low<=50K
862,,low<=50K
863,,low<=50K
864,,low<=50K
865,high>50K,
866,,low<=50K
867,,low<=50K
868,,low>50K
869,high>50K,
870,,low<=50K
871,,low<=50K
872,,low<=50K
873,,low>50K
874,,low<=50K
875,high>50K,
876,,low>50K
877,,low<=50K
878,,low<=50K
879,high<=50K,
880,,low<=50K
881,,low<=50K
882,,low<=50K
883,,low>50K
884,,low<=50K
885,high>50K,
886,,low>50K
887,high<=50K,
888,high>50K,
889,,low<=50K
890,,low<=50K
891,,low<=50K
892,,low<=50K
893,high>50K,
894,,low<=50K
895,,low<=50K
896,,low<=50K
897,,low<=50K
898,,low<=50K
899,,low>50K
900,,low<=50K
901,,low<=50K
902,,low<=50K
903,,low<=50K
904,,low<=50K
905,high<=50K,
906,,low<=50K
907,,low<=50K
908,,low>50K
909,,low<=50K
910,,low>50K
911,high<=50K,
912,high>50K,
913,,low<=50K
914,high>50K,
915,,low<=50K
916,high>50K,
917,,low>50K
918,high<=50K,
919,,low<=50K
920,high<=50K,
921,,low<=50K
922,,low>50K
923,,low>50K
924,,low<=50K
925,,low<=50K
926,,low<=50K
927,,low>50K
928,,low>50K
929,high<=50K,
930,,low<=50K
931,,low>50K
932,,low<=50K
933,,low<=50K
934,,low<=50K
935,high>50K,
936,,low<=50K
937,,low<=50K
938,,low<=50K
939,,low<=50K
940,,low>50K
941,,low<=50K
942,high<=50K,
943,,low<=50K
944,,low<=50K
945,,low<=50K
946,,low<=50K
947,,low<=50K
948,,low<=50K
949,,low<=50K
950,,low<=50K
951,,low<=50K
952,high>50K,
953,,low<=50K
954,,low<=50K
955,,low<=50K
956,,low<=50K
957,high>50K,
958,,low<=50K
959,high>50K,
960,high>50K,
961,,low>50K
962,,low<=50K
963,high<=50K,
964,,low<=50K
965,,low<=50K
966,high>50K,
967,,low>50K
968,,low<=50K
969,,low<=50K
970,,low<=50K
971,,low<=50K
972,,low>50K
973,,low<=50K
974,,low>50K
975,,low<=50K
976,high<=50K,
977,,low<=50K
978,high<=50K,
979,,low>50K
980,,low>50K
981,high>50K,
982,,low<=50K
983,,low<=50K
984,high<=50K,
985,high<=50K,
986,,low<=50K
987,,low>50K
988,high<=50K,
989,,low<=50K
990,,low<=50K
991,,low>50K
992,,low<=50K
993,,low<=50K
994,,low<=50K
995,high<=50K,
996,,low>50K
997,,low<=50K
998,,low>50K
999,high>50K,
1000,high<=50K,
1001,,low<=50K
1002,,low<=50K
1003,high<=50K,
1004,,low<=50K
1005,,low>50K
1006,,low<=50K
1007,high>50K,
1008,,low<=50K
1009,high<=50K,
1010,,low>50K
1011,,low<=50K
1012,high<=50K,
1013,,low<=50K
1014,high>50K,
1015,,low<=50K
1016,high>50K,
1017,high>50K,
1018,high<=50K,
1019,,low<=50K
1020,,low<=50K
1021,,low<=50K
1022,,low<=50K
1023,high>50K,
1024,high<=50K,
1025,,low<=50K
1026,,low<=50K
1027,,low<=50K
1028,high<=50K,
1029,,low<=50K
1030,,low<=50K
1031,,low>50K
1032,,low<=50K
1033,,low<=50K
1034,high<=50K,
1035,,low<=50K
1036,,low<=50K
1037,,low<=50K
1038,,low>50K
1039,high>50K,
1040,,low>50K
1041,,low<=50K
1042,,low<=50K
1043,,low<=50K
1044,,low<=50K
1045,,low<=50K
1046,high<=50K,
1047,,low<=50K
1048,high>50K,
1049,,low<=50K
1050,,low<=50K
1051,,low>50K
1052,,low>50K
1053,,low<=50K
1054,,low<=50K
1055,,low<=50K
1056,,low<=50K
1057,,low<=50K
1058,,low>50K
1059,high>50K,
1060,,low<=50K
1061,,low<=50K
1062,,low<=50K
1063,high>50K,
1064,,low>50K
1065,high>50K,
1066,,low<=50K
1067,high>50K,
1068,,low<=50K
1069,,low<=50K
1070,,low<=50K
1071,,low<=50K
1072,high>50K,
1073,,low<=50K
1074,,low<=50K
1075,,low<=50K
1076,,low>50K
1077,,low<=50K
1078,,low<=50K
1079,high>50K,
1080,high<=50K,
1081,,low<=50K
1082,,low<=50K
1083,,low<=50K
1084,,low<=50K
1085,high<=50K,
1086,high<=50K,
1087,,low<=50K
1088,,low>50K
1089,,low<=50K
1090,high<=50K,
1091,,low<=50K
1092,high<=50K,
1093,,low<=50K
1094,high<=50K,
1095,,low<=50K
1096,,low>50K
1097,high>50K,
1098,high<=50K,
1099,high>50K,
1100,,low<=50K
1101,high>50K,
1102,,low<=50K
1103,high>50K,
1104,,low<=50K
1105,,low>50K
1106,,low<=50K
1107,,low<=50K
1108,high>50K,
1109,,low<=50K
1110,,low>50K
1111,high<=50K,
1112,,low>50K
1113,,low>50K
1114,,low<=50K
1115,,low<=50K
1116,,low<=50K
1117,,low<=50K
1118,high>50K,
1119,,low<=50K
1120,,low<=50K
1121,,low<=50K
1122,high>50K,
1123,,low<=50K
1124,high<=50K,
1125,,low<=50K
1126,,low<=50K
1127,,low<=50K
1128,,low<=50K
1129,,low<=50K
1130,,low<=50K
1131,,low<=50K
1132,high>50K,
1133,,low<=50K
1134,,low<=50K
1135,,low>50K
1136,,low<=50K
1137,,low<=50K
1138,,low>50K
1139,,low<=50K
1140,,low<=50K
1141,,low<=50K
1142,high>50K,
1143,,low<=50K
1144,,low<=50K
1145,,low<=50K
1146,,low<=50K
1147,high<=50K,
1148,,low>50K
1149,high>50K,
1150,,low<=50K
1151,,low<=50K
1152,,low>50K
1153,,low<=50K
1154,,low<=50K
1155,,low<=50K
1156,high>50K,
1157,,low<=50K
1158,,low<=50K
1159,high<=50K,
1160,high<=50K,
1161,,low<=50K
1162,,low<=50K
1163,,low<=50K
1164,,low<=50K
1165,high>50K,
1166,high>50K,
1167,high>50K,
1168,,low<=50K
1169,,low<=50K
1170,,low<=50K
1171,,low>50K
1172,,low<=50K
1173,,low>50K
1174,,low<=50K
1175,high>50K,
1176,,low<=50K
1177,high<=50K,
1178,,low<=50K
1179,,low<=50K
1180,,low<=50K
1181,high<=50K,
1182,,low<=50K
1183,,low<=50K
1184,,low<=50K
1185,,low<=50K
1186,,low<=50K
1187,,low<=50K
1188,,low<=50K
1189,,low<=50K
1190,,low>50K
1191,,low<=50K
1192,,low<=50K
1193,high>50K,
1194,,low<=50K
1195,,low<=50K
1196,,low<=50K
1197,,low>50K
1198,high<=50K,
1199,high<=50K,
1200,,low<=50K
1201,,low>50K
1202,,low<=50K
1203,high>50K,
1204,high>50K,
1205,high>50K,
1206,,low<=50K
1207,,low<=50K
1208,,low>50K
1209,,low>50K
1210,,low>50K
1211,,low>50K
1212,,low<=50K
1213,,low<=50K
1214,,low<=50K
1215,,low<=50K
1216,,low<=50K
1217,,low<=50K
1218,,low>50K
1219,,low<=50K
1220,high<=50K,
1221,,low>50K
1222,high<=50K,
1223,,low<=50K
1224,,low<=50K
1225,high<=50K,
1226,,low<=50K
1227,,low<=50K
1228,high<=50K,
1229,high>50K,
1230,,low>50K
1231,high>50K,
1232,,low<=50K
1233,,low<=50K
1234,,low<=50K
1235,,low>50K
1236,,low<=50K
1237,high<=50K,
1238,,low<=50K
1239,,low<=50K
1240,,low<=50K
1241,,low>50K
1242,,low<=50K
1243,,low<=50K
1244,,low<=50K
1245,,low<=50K
1246,,low<=50K
1247,,low<=50K
1248,,low>50K
1249,,low<=50K
1250,,low<=50K
1251,high<=50K,
1252,high<=50K,
1253,,low<=50K
1254,,low<=50K
1255,,low<=50K
1256,,low<=50K
1257,high>50K,
1258,high<=50K,
1259,,low<=50K
1260,high<=50K,
1261,high<=50K,
1262,,low<=50K
1263,,low<=50K
1264,,low<=50K
1265,,low<=50K
1266,,low>50K
1267,,low<=50K
1268,high<=50K,
1269,,low<=50K
1270,,low<=50K
1271,,low<=50K
1272,,low>50K
1273,,low<=50K
1274,high<=50K,
1275,,low<=50K
1276,,low>50K
1277,,low<=50K
1278,,low<=50K
1279,,low<=50K
1280,,low<=50K
1281,,low>50K
1282,,low<=50K
1283,,low>50K
1284,,low<=50K
1285,,low<=50K
1286,,low<=50K
1287,,low<=50K
1288,high>50K,
1289,,low>50K
1290,,low<=50K
1291,,low<=50K
1292,,low<=50K
1293,high>50K,
1294,high>50K,
1295,,low<=50K
1296,,low<=50K
1297,,low<=50K
1298,,low<=50K
1299,,low<=50K
1300,,low<=50K
1301,high>50K,
1302,,low<=50K
1303,,low<=50K
1304,,low>50K
1305,,low<=50K
1306,,low<=50K
1307,,low>50K
1308,,low<=50K
1309,,low<=50K
1310,high<=50K,
1311,,low>50K
1312,high<=50K,
1313,,low>50K
1314,,low<=50K
1315,,low>50K
1316,,low<=50K
1317,,low>50K
1318,,low<=50K
1319,,low<=50K
1320,,low<=50K
1321,,low>50K
1322,,low>50K
1323,,low<=50K
1324,,low<=50K
1325,high>50K,
1326,,low>50K
1327,,low<=50K
1328,,low<=50K
1329,,low<=50K
1330,,low>50K
1331,,low>50K
1332,,low<=50K
1333,,low>50K
1334,,low>50K
1335,,low<=50K
1336,,low<=50K
1337,,low<=50K
1338,high<=50K,
1339,,low<=50K
1340,,low>50K
1341,,low>50K
1342,high<=50K,
1343,high<=50K,
1344,high<=50K,
1345,,low<=50K
1346,,low<=50K
1347,,low<=50K
1348,,low<=50K
1349,,low<=50K
1350,,low<=50K
1351,,low<=50K
1352,,low>50K
1353,,low>50K
1354,,low<=50K
1355,high>50K,
1356,,low<=50K
1357,,low<=50K
1358,,low<=50K
1359,,low<=50K
1360,high>50K,
1361,,low<=50K
1362,,low<=50K
1363,,low>50K
1364,,low>50K
1365,,low<=50K
1366,,low>50K
1367,,low>50K
1368,high<=50K,
1369,,low>50K
1370,,low<=50K
1371,high>50K,
1372,,low<=50K
1373,,low<=50K
1374,high>50K,
1375,,low<=50K
1376,,low<=50K
1377,,low<=50K
1378,,low<=50K
1379,,low<=50K
1380,,low<=50K
1381,,low>50K
1382,high>50K,
1383,,low<=50K
1384,high>50K,
1385,high<=50K,
1386,,low>50K
1387,high<=50K,
1388,high<=50K,
1389,,low<=50K
1390,high<=50K,
1391,,low<=50K
1392,,low<=50K
1393,,low<=50K
1394,high<=50K,
1395,,low<=50K
1396,,low<=50K
1397,,low<=50K
1398,high>50K,
1399,,low<=50K
1400,,low<=50K
1401,,low>50K
1402,high>50K,
1403,,low>50K
1404,,low<=50K
1405,,low<=50K
1406,,low<=50K
1407,,low<=50K
1408,,low<=50K
1409,,low<=50K
1410,,low<=50K
1411,,low<=50K
1412,,low<=50K
1413,,low<=50K
1414,high<=50K,
1415,,low<=50K
1416,high<=50K,
1417,,low>50K
1418,,low<=50K
1419,,low<=50K
1420,,low<=50K
1421,,low<=50K
1422,,low<=50K
1423,,low<=50K
1424,high<=50K,
1425,,low<=50K
1426,,low<=50K
1427,,low<=50K
1428,,low<=50K
1429,,low<=50K
1430,,low<=50K
1431,,low<=50K
1432,,low<=50K
1433,,low<=50K
1434,high<=50K,
1435,,low>50K
1436,,low<=50K
1437,,low<=50K
1438,,low<=50K
1439,,low<=50K
1440,,low<=50K
1441,high<=50K,
1442,,low>50K
1443,high<=50K,
1444,,low>50K
1445,,low<=50K
1446,,low>50K
1447,,low<=50K
1448,,low<=50K
1449,,low<=50K
1450,high<=50K,
1451,,low<=50K
1452,high<=50K,
1453,high<=50K,
1454,,low>50K
1455,,low<=50K
1456,high<=50K,
1457,,low<=50K
1458,high<=50K,
1459,,low<=50K
1460,,low<=50K
1461,,low<=50K
1462,,low>50K
1463,,low<=50K
1464,,low<=50K
1465,,low<=50K
1466,,low<=50K
1467,,low<=50K
1468,,low<=50K
1469,,low>50K
1470,high>50K,
1471,,low>50K
1472,high<=50K,
1473,,low>50K
1474,,low>50K
1475,,low<=50K
1476,,low<=50K
1477,,low<=50K
1478,,low>50K
1479,,low>50K
1480,,low<=50K
1481,,low<=50K
1482,,low>50K
1483,,low<=50K
1484,high>50K,
1485,,low<=50K
1486,,low<=50K
1487,,low<=50K
1488,,low>50K
1489,,low<=50K
1490,,low<=50K
1491,,low>50K
1492,,low<=50K
1493,,low<=50K
1494,high>50K,
1495,,low>50K
1496,,low<=50K
1497,high>50K,
1498,high>50K,
1499,high>50K,
1500,,low<=50K
1501,,low>50K
1502,,low<=50K
1503,,low<=50K
1504,high>50K,
1505,,low<=50K
1506,,low<=50K
1507,,low<=50K
1508,,low<=50K
1509,,low<=50K
1510,,low>50K
1511,high>50K,
1512,,low<=50K
1513,,low<=50K
1514,,low<=50K
1515,,low<=50K
1516,high>50K,
1517,high<=50K,
1518,,low<=50K
1519,,low<=50K
1520,,low>50K
1521,,low<=50K
1522,,low<=50K
1523,,low>50K
1524,,low>50K
1525,,low<=50K
1526,,low<=50K
1527,,low<=50K
1528,,low>50K
1529,high<=50K,
1530,,low<=50K
1531,,low<=50K
1532,,low<=50K
1533,,low<=50K
1534,,low<=50K
1535,high>50K,
